Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
290010,Abaíra,0,1,2,9199,0.0
290020,Abaré,7,0,0,20189,0.0346723463272079
290030,Acajutiba,5,0,0,15727,0.0317924588287658
290035,Adustina,1,1,2,17349,0.00576402098103637
290040,Água Fria,9,0,0,17508,0.0514050719671008
290060,Aiquara,1,0,0,4725,0.0211640211640212
290070,Alagoinhas,126,1,4,155979,0.0807801050141365
290080,Alcobaça,57,1,3,23376,0.243839835728953
290090,Almadina,1,0,0,5985,0.0167084377610693
290100,Amargosa,24,1,3,38259,0.0627303379596958
290110,Amélia Rodrigues,13,0,0,26409,0.049225642773297
290115,América Dourada,2,0,0,16798,0.0119061793070604
290120,Anagé,2,0,0,19568,0.0102207686017989
290130,Andaraí,2,1,2,13737,0.0145592196258281
290135,Andorinha,4,0,0,15490,0.025823111684958
290140,Angical,4,0,0,14690,0.0272294077603812
290150,Anguera,3,0,0,11481,0.0261301280376274
290160,Antas,3,0,0,19569,0.015330369461904
290170,Antônio Cardoso,7,0,0,12208,0.0573394495412844
290180,Antônio Gonçalves,4,0,0,12072,0.0331345261762757
290190,Aporá,2,0,0,18334,0.0109086942293008
290195,Apuarema,4,0,0,7730,0.0517464424320828
290205,Araças,1,0,0,12608,0.00793147208121827
290200,Aracatu,2,0,0,13962,0.0143245953301819
290210,Araci,20,0,0,55935,0.0357557879681773
290220,Aramari,3,0,0,11703,0.0256344527044348
290225,Arataca,3,0,0,11661,0.0257267815796244
290230,Aratuípe,4,1,1,9171,0.0436157452840475
290240,Aurelino Leal,6,0,0,12706,0.0472217849834724
290250,Baianópolis,2,0,0,14323,0.0139635551211338
290260,Baixa Grande,3,0,0,21403,0.0140167266271084
290265,Banzaê,0,1,1,13765,0.0
290270,Barra,31,1,1,54915,0.0564508786306109
290280,Barra da Estiva,15,1,2,22082,0.0679286296531111
290290,Barra do Choça,12,0,0,34121,0.0351689575334838
290300,Barra do Mendes,7,1,1,14560,0.0480769230769231
290310,Barra do Rocha,4,0,0,6258,0.0639181847235538
290320,Barreiras,106,1,4,157638,0.0672426699146145
290323,Barro Alto,3,0,0,15217,0.0197147926660971
290330,Barro Preto,1,0,0,6251,0.0159974404095345
290327,Barrocas,4,0,0,16296,0.0245459008345606
290340,Belmonte,36,1,2,24013,0.149918793986591
290350,Belo Campo,11,0,0,18247,0.060283882282019
290360,Biritinga,5,0,0,16653,0.0300246201885546
290370,Boa Nova,4,0,0,14069,0.0284313028644538
290380,Boa Vista do Tupim,1,0,0,19502,0.00512767921238847
290390,Bom Jesus da Lapa,24,1,4,70618,0.0339856693760798
290395,Bom Jesus da Serra,3,0,0,10477,0.0286341509974229
290400,Boninal,2,1,1,14760,0.013550135501355
290405,Bonito,4,1,2,17131,0.0233494833926799
290410,Boquira,3,0,0,22464,0.0133547008547009
290420,Botuporã,2,0,0,10898,0.0183519911910442
290430,Brejões,4,0,0,15122,0.0264515275757175
290440,Brejolândia,1,0,0,10833,0.00923105326317733
290450,Brotas de Macaúbas,0,1,2,10974,0.0
290460,Brumado,4,0,0,69677,0.00574077529170314
290470,Buerarema,3,0,0,19256,0.0155795596177815
290475,Buritirama,3,0,0,21786,0.0137703112090333
290480,Caatiba,3,0,0,7841,0.0382604259660758
290485,Cabaceiras do Paraguaçu,0,0,0,19312,0.0
290490,Cachoeira,4,1,3,35139,0.0113833632146618
290500,Caculé,2,0,0,23817,0.00839736322794643
290510,Caém,0,0,0,10058,0.0
290515,Caetanos,0,0,0,16106,0.0
290520,Caetité,9,0,0,52853,0.0170283616824021
290530,Cafarnaum,4,0,0,19006,0.02104598547827
290540,Cairu,5,1,5,18224,0.0274363476733977
290550,Caldeirão Grande,3,0,0,13713,0.0218770509735288
290560,Camacan,20,0,0,33310,0.0600420294205944
290570,Camaçari,253,1,4,296893,0.085215885857868
290580,Camamu,13,1,2,36644,0.0354764763672088
290590,Campo Alegre de Lourdes,2,0,0,30048,0.00665601703940362
290600,Campo Formoso,26,1,2,73448,0.0353991939875831
290610,Canápolis,0,0,0,10151,0.0
290620,Canarana,5,0,0,26862,0.0186136549772913
290630,Canavieiras,23,1,3,33002,0.0696927458941882
290640,Candeal,5,0,0,8837,0.0565802874278601
290650,Candeias,67,1,2,89707,0.0746875940562052
290660,Candiba,0,0,0,14792,0.0
290670,Cândido Sales,25,0,0,26674,0.0937242258378946
290680,Cansanção,12,0,0,36191,0.0331574148268907
290682,Canudos,6,1,2,17316,0.0346500346500346
290685,Capela do Alto Alegre,4,0,0,12199,0.0327895729158128
290687,Capim Grosso,6,0,0,31392,0.0191131498470948
290689,Caraíbas,0,0,0,9773,0.0
290690,Caravelas,29,1,2,22740,0.127528583992964
290700,Cardeal da Silva,7,0,0,9544,0.0733445096395641
290710,Carinhanha,2,0,0,30118,0.00664054718108772
290720,Casa Nova,43,0,0,73382,0.0585974762203265
290730,Castro Alves,18,1,2,27238,0.0660841471473676
290740,Catolândia,1,0,0,3669,0.0272553829381303
290750,Catu,20,0,0,56459,0.0354239359535238
290755,Caturama,0,0,0,9764,0.0
290760,Central,4,1,2,17969,0.0222605598530803
290770,Chorrochó,1,0,0,11591,0.00862738331464067
290780,Cícero Dantas,8,0,0,34676,0.0230707117314569
290790,Cipó,1,1,2,17739,0.00563729635266926
290800,Coaraci,5,0,0,19022,0.0262853538008622
290810,Cocos,0,0,0,19498,0.0
290820,Conceição da Feira,13,0,0,23024,0.0564628214037526
290830,Conceição do Almeida,6,0,0,18229,0.0329145866476493
290840,Conceição do Coité,20,0,0,68303,0.0292812907192949
290850,Conceição do Jacuípe,24,0,0,33876,0.0708466170740347
290860,Conde,17,1,3,26371,0.0644647529483144
290870,Condeúba,7,0,0,18191,0.0384805673135067
290880,Contendas do Sincorá,0,0,0,4299,0.0
290890,Coração de Maria,22,0,0,23896,0.0920656176765986
290900,Cordeiros,4,0,0,8904,0.0449236298292902
290910,Coribe,4,0,0,14933,0.0267863121944686
290920,Coronel João Sá,12,0,0,16814,0.0713690971809207
290930,Correntina,9,1,3,33361,0.0269776085848746
290940,Cotegipe,4,0,0,14414,0.0277507978354378
290950,Cravolândia,0,0,0,5576,0.0
290960,Crisópolis,3,0,0,21835,0.0137394092054042
290970,Cristópolis,3,0,0,14403,0.0208289939595917
290980,Cruz das Almas,4,1,3,64932,0.00616029076572414
290990,Curaçá,14,1,2,35524,0.0394099763540142
291000,Dário Meira,9,0,0,11716,0.0768180266302492
291005,Dias d'Ávila,36,1,3,80657,0.0446334478098615
291010,Dom Basílio,1,1,2,12604,0.00793398920977467
291020,Dom Macedo Costa,1,1,2,4212,0.0237416904083571
291030,Elísio Medrado,2,0,0,8461,0.0236378678643186
291040,Encruzilhada,9,0,0,19376,0.04644921552436
291050,Entre Rios,19,1,3,43223,0.0439580778752053
290050,Érico Cardoso,0,0,0,11212,0.0
291060,Esplanada,14,1,3,37845,0.0369929977539966
291070,Euclides da Cunha,13,1,3,61924,0.0209934758736516
291072,Eunápolis,70,0,0,115290,0.0607164541590771
291075,Fátima,4,0,0,18443,0.0216884454806702
291077,Feira da Mata,0,0,0,5922,0.0
291080,Feira de Santana,885,1,4,627477,0.141041026204945
291085,Filadélfia,2,0,0,17176,0.0116441546343735
291090,Firmino Alves,1,0,0,5822,0.0171762281003092
291100,Floresta Azul,1,0,0,11244,0.00889363215937389
291110,Formosa do Rio Preto,6,0,0,25912,0.0231552948440877
291120,Gandu,9,0,0,33234,0.0270807004874526
291125,Gavião,0,0,0,4725,0.0
291130,Gentio do Ouro,0,1,1,11639,0.0
291140,Glória,11,0,0,15840,0.0694444444444444
291150,Gongogi,2,0,0,7848,0.0254841997961264
291160,Governador Mangabeira,7,0,0,21495,0.0325657129565015
291165,Guajeru,0,0,0,8081,0.0
291170,Guanambi,20,0,0,86808,0.0230393512118699
291180,Guaratinga,5,1,1,22154,0.0225692877132798
291185,Heliópolis,3,0,0,13718,0.0218690771249453
291190,Iaçu,5,0,0,25884,0.0193169525575645
291200,Ibiassucê,0,0,0,10183,0.0
291210,Ibicaraí,2,0,0,23529,0.00850014875260317
