Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
290010,Abaíra,0,1,2,9199,0.0
290020,Abaré,7,0,0,20189,0.034672346327207886
290030,Acajutiba,5,0,0,15727,0.031792458828765816
290035,Adustina,1,1,2,17349,0.005764020981036371
290040,Água Fria,9,0,0,17508,0.05140507196710076
290060,Aiquara,1,0,0,4725,0.021164021164021163
290070,Alagoinhas,126,1,4,155979,0.08078010501413652
290080,Alcobaça,57,1,3,23376,0.24383983572895276
290090,Almadina,1,0,0,5985,0.01670843776106934
290100,Amargosa,24,1,3,38259,0.06273033795969576
290110,Amélia Rodrigues,13,0,0,26409,0.04922564277329698
290115,América Dourada,2,0,0,16798,0.011906179307060364
290120,Anagé,2,0,0,19568,0.010220768601798855
290130,Andaraí,2,1,2,13737,0.014559219625828056
290135,Andorinha,4,0,0,15490,0.025823111684958037
290140,Angical,4,0,0,14690,0.02722940776038121
290150,Anguera,3,0,0,11481,0.026130128037627383
290160,Antas,3,0,0,19569,0.015330369461904032
290170,Antônio Cardoso,7,0,0,12208,0.05733944954128441
290180,Antônio Gonçalves,4,0,0,12072,0.03313452617627568
290190,Aporá,2,0,0,18334,0.010908694229300752
290195,Apuarema,4,0,0,7730,0.0517464424320828
290205,Araças,1,0,0,12608,0.007931472081218274
290200,Aracatu,2,0,0,13962,0.014324595330181922
290210,Araci,20,0,0,55935,0.03575578796817735
290220,Aramari,3,0,0,11703,0.02563445270443476
290225,Arataca,3,0,0,11661,0.025726781579624387
290230,Aratuípe,4,1,2,9171,0.04361574528404754
290240,Aurelino Leal,6,0,0,12706,0.047221784983472376
290250,Baianópolis,2,0,0,14323,0.01396355512113384
290260,Baixa Grande,3,0,0,21403,0.01401672662710835
290265,Banzaê,0,1,2,13765,0.0
290270,Barra,31,1,2,54915,0.05645087863061094
290280,Barra da Estiva,15,1,2,22082,0.06792862965311112
290290,Barra do Choça,12,0,0,34121,0.03516895753348378
290300,Barra do Mendes,7,1,2,14560,0.04807692307692308
290310,Barra do Rocha,4,0,0,6258,0.06391818472355384
290320,Barreiras,106,1,4,157638,0.0672426699146145
290323,Barro Alto,3,0,0,15217,0.019714792666097127
290330,Barro Preto,1,0,0,6251,0.015997440409534474
290327,Barrocas,4,0,0,16296,0.024545900834560628
290340,Belmonte,36,1,2,24013,0.1499187939865906
290350,Belo Campo,11,0,0,18247,0.06028388228201896
290360,Biritinga,5,0,0,16653,0.030024620188554615
290370,Boa Nova,4,0,0,14069,0.028431302864453764
290380,Boa Vista do Tupim,1,0,0,19502,0.005127679212388473
290390,Bom Jesus da Lapa,24,1,4,70618,0.033985669376079754
290395,Bom Jesus da Serra,3,0,0,10477,0.028634150997422926
290400,Boninal,2,1,2,14760,0.013550135501355014
290405,Bonito,4,1,2,17131,0.023349483392679938
290410,Boquira,3,0,0,22464,0.013354700854700854
290420,Botuporã,2,0,0,10898,0.018351991191044227
290430,Brejões,4,0,0,15122,0.026451527575717497
290440,Brejolândia,1,0,0,10833,0.009231053263177328
290450,Brotas de Macaúbas,0,1,2,10974,0.0
290460,Brumado,4,0,0,69677,0.005740775291703144
290470,Buerarema,3,0,0,19256,0.01557955961778147
290475,Buritirama,3,0,0,21786,0.013770311209033324
290480,Caatiba,3,0,0,7841,0.038260425966075755
290485,Cabaceiras do Paraguaçu,0,0,0,19312,0.0
290490,Cachoeira,4,1,3,35139,0.011383363214661772
290500,Caculé,2,0,0,23817,0.008397363227946425
290510,Caém,0,0,0,10058,0.0
290515,Caetanos,0,0,0,16106,0.0
290520,Caetité,9,0,0,52853,0.017028361682402134
290530,Cafarnaum,4,0,0,19006,0.02104598547827002
290540,Cairu,5,1,4,18224,0.027436347673397716
290550,Caldeirão Grande,3,0,0,13713,0.021877050973528767
290560,Camacan,20,0,0,33310,0.06004202942059442
290570,Camaçari,253,1,4,296893,0.08521588585786799
290580,Camamu,13,1,2,36644,0.03547647636720882
290590,Campo Alegre de Lourdes,2,0,0,30048,0.006656017039403621
290600,Campo Formoso,26,1,2,73448,0.03539919398758305
290610,Canápolis,0,0,0,10151,0.0
290620,Canarana,5,0,0,26862,0.018613654977291342
290630,Canavieiras,23,1,3,33002,0.06969274589418824
290640,Candeal,5,0,0,8837,0.056580287427860136
290650,Candeias,67,1,2,89707,0.0746875940562052
290660,Candiba,0,0,0,14792,0.0
290670,Cândido Sales,25,0,0,26674,0.09372422583789458
290680,Cansanção,12,0,0,36191,0.03315741482689066
290682,Canudos,6,1,2,17316,0.03465003465003465
290685,Capela do Alto Alegre,4,0,0,12199,0.03278957291581277
290687,Capim Grosso,6,0,0,31392,0.0191131498470948
290689,Caraíbas,0,0,0,9773,0.0
290690,Caravelas,29,1,2,22740,0.12752858399296393
290700,Cardeal da Silva,7,0,0,9544,0.07334450963956413
290710,Carinhanha,2,0,0,30118,0.006640547181087721
290720,Casa Nova,43,0,0,73382,0.05859747622032651
290730,Castro Alves,18,1,2,27238,0.06608414714736764
290740,Catolândia,1,0,0,3669,0.02725538293813028
290750,Catu,20,0,0,56459,0.0354239359535238
290755,Caturama,0,0,0,9764,0.0
290760,Central,4,1,2,17969,0.022260559853080304
290770,Chorrochó,1,0,0,11591,0.00862738331464067
290780,Cícero Dantas,8,0,0,34676,0.023070711731456917
290790,Cipó,1,1,2,17739,0.00563729635266926
290800,Coaraci,5,0,0,19022,0.02628535380086216
290810,Cocos,0,0,0,19498,0.0
290820,Conceição da Feira,13,0,0,23024,0.056462821403752604
290830,Conceição do Almeida,6,0,0,18229,0.032914586647649346
290840,Conceição do Coité,20,0,0,68303,0.029281290719294906
290850,Conceição do Jacuípe,24,0,0,33876,0.07084661707403471
290860,Conde,17,1,3,26371,0.06446475294831444
290870,Condeúba,7,0,0,18191,0.03848056731350668
290880,Contendas do Sincorá,0,0,0,4299,0.0
290890,Coração de Maria,22,0,0,23896,0.0920656176765986
290900,Cordeiros,4,0,0,8904,0.044923629829290206
290910,Coribe,4,0,0,14933,0.026786312194468625
290920,Coronel João Sá,12,0,0,16814,0.07136909718092066
290930,Correntina,9,1,3,33361,0.026977608584874555
290940,Cotegipe,4,0,0,14414,0.027750797835437768
290950,Cravolândia,0,0,0,5576,0.0
290960,Crisópolis,3,0,0,21835,0.013739409205404167
290970,Cristópolis,3,0,0,14403,0.02082899395959175
290980,Cruz das Almas,4,1,3,64932,0.006160290765724142
290990,Curaçá,14,1,2,35524,0.039409976354014185
291000,Dário Meira,9,0,0,11716,0.07681802663024923
291005,Dias d'Ávila,36,1,3,80657,0.04463344780986151
291010,Dom Basílio,1,1,2,12604,0.007933989209774674
291020,Dom Macedo Costa,1,1,2,4212,0.023741690408357077
291030,Elísio Medrado,2,0,0,8461,0.023637867864318637
291040,Encruzilhada,9,0,0,19376,0.04644921552436003
291050,Entre Rios,19,1,3,43223,0.04395807787520533
290050,Érico Cardoso,0,0,0,11212,0.0
291060,Esplanada,14,1,3,37845,0.036992997753996566
291070,Euclides da Cunha,13,1,3,61924,0.020993475873651572
291072,Eunápolis,70,0,0,115290,0.06071645415907711
291075,Fátima,4,0,0,18443,0.021688445480670174
291077,Feira da Mata,0,0,0,5922,0.0
291080,Feira de Santana,885,1,4,627477,0.14104102620494458
291085,Filadélfia,2,0,0,17176,0.011644154634373545
291090,Firmino Alves,1,0,0,5822,0.017176228100309172
291100,Floresta Azul,1,0,0,11244,0.008893632159373888
291110,Formosa do Rio Preto,6,0,0,25912,0.02315529484408768
291120,Gandu,9,0,0,33234,0.02708070048745261
291125,Gavião,0,0,0,4725,0.0
291130,Gentio do Ouro,0,1,2,11639,0.0
291140,Glória,11,0,0,15840,0.06944444444444445
291150,Gongogi,2,0,0,7848,0.0254841997961264
291160,Governador Mangabeira,7,0,0,21495,0.032565712956501514
291165,Guajeru,0,0,0,8081,0.0
291170,Guanambi,20,0,0,86808,0.023039351211869875
291180,Guaratinga,5,1,2,22154,0.02256928771327977
291185,Heliópolis,3,0,0,13718,0.021869077124945326
291190,Iaçu,5,0,0,25884,0.019316952557564517
291200,Ibiassucê,0,0,0,10183,0.0
291210,Ibicaraí,2,0,0,23529,0.00850014875260317
291220,Ibicoara,11,1,2,19786,0.05559486505610027
291230,Ibicuí,6,0,0,16796,0.0357227911407478
291240,Ibipeba,4,0,0,18678,0.021415569118749332
291250,Ibipitanga,2,0,0,15413,0.012976059170829819
291260,Ibiquera,4,0,0,4214,0.09492168960607499
291270,Ibirapitanga,6,0,0,24293,0.024698472811097848
291280,Ibirapuã,1,0,0,8852,0.011296882060551287
291290,Ibirataia,8,0,0,17221,0.046454909703269265
291300,Ibitiara,1,0,0,16855,0.0059329575793533075
291310,Ibititá,10,0,0,17948,0.05571651437486071
291320,Ibotirama,17,1,3,27862,0.061015002512382455
291330,Ichu,0,0,0,6437,0.0
291340,Igaporã,3,0,0,16283,0.01842412331879875
291345,Igrapiúna,4,1,2,14187,0.02819482624938324
291350,Iguaí,3,1,2,27939,0.010737678513905294
291360,Ilhéus,288,1,4,176341,0.16331993126952893
291370,Inhambupe,23,0,0,40453,0.056856104615232494
291380,Ipecaetá,8,0,0,15499,0.05161623330537454
291390,Ipiaú,41,1,3,47704,0.08594667113868858
291400,Ipirá,6,0,0,62631,0.009579920486659961
291410,Ipupiara,0,0,0,10157,0.0
291420,Irajuba,1,0,0,7521,0.013296104241457253
291430,Iramaia,2,1,2,9901,0.0201999798000202
291440,Iraquara,2,1,2,25536,0.007832080200501253
291450,Irará,13,1,2,29879,0.0435088189029084
291460,Irecê,71,0,0,74483,0.09532376515446478
291465,Itabela,34,0,0,31422,0.10820444274711985
291470,Itaberaba,20,1,3,66806,0.029937430769691346
291480,Itabuna,91,1,4,221046,0.04116790170371778
291490,Itacaré,23,1,4,28382,0.08103727714748785
291500,Itaeté,3,1,2,16586,0.01808754371156397
291510,Itagi,7,0,0,13199,0.05303432078187741
291520,Itagibá,8,0,0,15577,0.051357771072735446
291530,Itagimirim,2,0,0,7291,0.0274310794129749
291535,Itaguaçu da Bahia,6,0,0,14718,0.040766408479412965
291540,Itaju do Colônia,1,0,0,7218,0.013854253255749516
